image,image_url,product_id,title,color,fit,pattern,material,price,rating,category,product_url,wear_type
female_00142.webp,https://assets.newme.asia/wp-content/uploads/2026/04/13111746d0be7d8c/NM-PRC-185-DRS-26-FEB-30963-NAVY(1).webp,9668720,Navy Blue Solid Ruched Maxi Dress,"Navy, Brown",,Ruched,,1449,4.9,Dresses,https://newme.asia/product/navy-blue-solid-ruched-maxi-dress-4,upper wear
female_00143.webp,https://assets.newme.asia/wp-content/uploads/2026/05/15092342e3421878/NM-IN-56-DRS-26-MAR-31783-RED(0).webp,10493430,Red Belted Tube Mini Dress,Beige,,,,1399,4.4,Dresses,https://newme.asia/product/red-belted-tube-mini-dress-2,upper wear
female_00144.webp,https://assets.newme.asia/wp-content/uploads/2026/01/14125657eab1eeb6/NM-IN-56-DRS-25-JUL-20853-NAVYBLUE(1).webp,9074099,Navy Blue One Shoulder Maxi Dress,"Navy Blue, Maroon, Black",,,,899,4.8,Dresses,https://newme.asia/product/navy-blue-one-shoulder-maxi-dress-2,upper wear
female_00145.webp,https://assets.newme.asia/wp-content/uploads/2026/05/221238455edcb320/NM-PRC-414-DRS-26-APR-32495-LIGHTBLUE(1).webp,10588601,Light Blue Floral A-Line Maxi Dress,"Light Blue, Lightpink, Yellow",,Floral,,1099,5.0,Dresses,https://newme.asia/product/light-blue-floral-a-line-maxi-dress,upper wear
female_00146.webp,https://assets.newme.asia/wp-content/uploads/2026/01/221106333ae599da/NM-IN-56-DRS-25-DEC-27775-OFFWHITE(1).webp,9178270,Off White Solid Halter Neck Mini Dress,"Off White, White, Lightpink, Red, Lightyellow, Darkbrown, Light Blue",,Solid,,1149,4.8,Dresses,https://newme.asia/product/off-white-solid-halter-neck-mini-dress-2,upper wear
female_00147.webp,https://assets.newme.asia/wp-content/uploads/2026/01/14125714c5e3463f/NM-IN-56-DRS-25-NOV-26089-BLACK(1).webp,9074075,Black Scoop Neck Lace Mini Dress,,,,,1149,4.8,Dresses,https://newme.asia/product/black-scoop-neck-lace-mini-dress,upper wear
female_00148.webp,https://assets.newme.asia/wp-content/uploads/2026/06/2611541925b9835e/NM-PRC-198-DRS-26-JUN-34937-ORANGE(1).webp,10994176,Orange Cut Out Bodycon Mini Dress,,Bodycon,,,699,4.7,Dresses,https://newme.asia/product/orange-cut-out-bodycon-mini-dress-2,upper wear
female_00149.webp,https://assets.newme.asia/wp-content/uploads/2026/05/22123827607f7e7e/NM-PRC-425-DRS-26-MAY-33925-DARKBLUE(1).webp,10588584,Dark Blue Ruched Mermaid Midi Dress,"Dark Blue, Brown",,Ruched,,1199,5.0,Dresses,https://newme.asia/product/dark-blue-ruched-mermaid-midi-dress,upper wear
female_00150.webp,https://assets.newme.asia/wp-content/uploads/2025/05/190936511d63dc99/NM-PRC-74-DRS-24-OCT-9935-BROWN(1).webp,3071118,Brown Solid Maxi Dress,"Brown, Black",,Solid,,1199,4.7,Dresses,https://newme.asia/product/brown-solid-maxi-dress,upper wear
female_00151.webp,https://assets.newme.asia/wp-content/uploads/2026/03/1814013478e45986/NM-PRC-313-DRS-26-MAR-31682-WHITE(1).webp,9750764,White Sweetheart Floral Maxi Dress,"White, Light Blue, Lightpink",,Floral,,1149,4.7,Dresses,https://newme.asia/product/white-sweetheart-floral-maxi-dress,upper wear
female_00152.webp,https://assets.newme.asia/wp-content/uploads/2026/04/23063452b9d45682/NM-IN-56-DRS-24-MAR-3672-PINK(0).webp,3323985,Pink Floral Neckline Maxi Dress,"Lightpink, Red, Black, Yellow",,Floral,,949,4.8,Dresses,https://newme.asia/product/pink-floral-neckline-maxi-dress-2,upper wear
female_00153.webp,https://assets.newme.asia/wp-content/uploads/2025/08/2214012685619930/NM-IN-56-DRS-24-APR-4683-WHITE_(1).webp,1790728,White Solid Mini Dress,,,Solid,,649,4.8,Dresses,https://newme.asia/product/white-solid-mini-dress-2,upper wear
female_00154.webp,https://assets.newme.asia/wp-content/uploads/2026/02/05105256a62db2f8/NM-IN-56-DRS-25-DEC-27775-DARKBROWN(0).webp,9362971,Dark Brown Tiered Mini Halter Dress,"Darkbrown, White, Lightpink, Red, Lightyellow, Light Blue, Off White",,,,1099,4.8,Dresses,https://newme.asia/product/dark-brown-tiered-mini-halter-dress,upper wear
