image,image_url,product_id,title,color,fit,pattern,material,price,rating,category,product_url
00124.webp,https://d2wbq7o4qxi60y.cloudfront.net/8647166754978/1-800.webp,8647166754978,Monaco Off-White Slim Fit Polo T-Shirt,['Off White'],Slim Fit,Graphic Print,Cotton Blend,923.0,4.6,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/monaco-off-white-slim-fit-polo-t-shirt-4mst2661-01/8647166754978/buy
00125.webp,https://d2wbq7o4qxi60y.cloudfront.net/8633960300706/1-800.webp,8633960300706,Cupid Touch Brown Oversized Fit T-Shirt,['Brown'],Oversized Fit,Graphic Print,,799.0,4.4,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/cupid-touch-brown-oversized-fit-t-shirt-4mst2534-01/8633960300706/buy
00126.webp,https://d2wbq7o4qxi60y.cloudfront.net/9237969567906/1-800.webp,9237969567906,Slim Fit 100% Cotton Polo T-Shirt,['Black'],Slim Fit,Plain,Cotton,1199.0,4.6,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/polo-100-cotton-slim-fit-t-shirt-4pl003-01/9237969567906/buy
00127.webp,https://d2wbq7o4qxi60y.cloudfront.net/9222067290274/1-800.webp,9222067290274,100% Cotton Oversized T-Shirt,['White'],Oversized Fit,Plain,Cotton,1099.0,4.3,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/oversized-100-cotton-t-shirt-4rn002-02/9222067290274/buy
00128.webp,https://d2wbq7o4qxi60y.cloudfront.net/8280926683298/1-800.webp,8280926683298,Edward Brown Polo T-Shirt,['Brown'],Slim Fit,Plain,Rayon Blend,1219.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/edward-brown-polo-t-shirt/8280926683298/buy
00129.webp,https://d2wbq7o4qxi60y.cloudfront.net/9214324375714/1-800.webp,9214324375714,100% Cotton Oversized T-Shirt,['Green'],Oversized Fit,Plain,Cotton,1099.0,4.4,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/oversized-100-cotton-t-shirt-4rn002-05/9214324375714/buy
00130.webp,https://d2wbq7o4qxi60y.cloudfront.net/9214312513698/1-800.webp,9214312513698,Slim Fit Stretch T-Shirt,['Green'],Slim Fit,Plain,Cotton Blend,1099.0,4.1,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/slim-fit-stretch-t-shirt-4rn005-11/9214312513698/buy
00131.webp,https://d2wbq7o4qxi60y.cloudfront.net/9214312480930/1-800.webp,9214312480930,Slim Fit Stretch T-Shirt,['Green'],Slim Fit,Plain,Cotton Blend,1099.0,4.1,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/slim-fit-stretch-t-shirt-4rn005-08/9214312480930/buy
00132.webp,https://d2wbq7o4qxi60y.cloudfront.net/9214324277410/1-800.webp,9214324277410,100% Cotton Oversized T-Shirt,['Mauve'],Oversized Fit,Plain,Cotton,1099.0,4.4,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/oversized-100-cotton-t-shirt-4rn002-03/9214324277410/buy
00133.webp,https://d2wbq7o4qxi60y.cloudfront.net/8953084772514/1-800.webp,8953084772514,Slim Fit Stretch T-Shirt,['Brown'],Slim Fit,Plain,Cotton Blend,1099.0,4.2,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/slim-fit-stretch-t-shirt-4rn005-09/8953084772514/buy
00134.webp,https://d2wbq7o4qxi60y.cloudfront.net/9214312382626/1-800.webp,9214312382626,100% Cotton Regular Fit T-Shirt,['Navy'],Regular Fit,Plain,Cotton,799.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/100-cotton-regular-fit-t-shirt-4rn003-14/9214312382626/buy
00135.webp,https://d2wbq7o4qxi60y.cloudfront.net/9214324506786/1-800.webp,9214324506786,100% Cotton Oversized T-Shirt,['Beige'],Oversized Fit,Plain,Cotton,1099.0,4.3,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/oversized-100-cotton-t-shirt-4rn002-09/9214324506786/buy
00136.webp,https://d2wbq7o4qxi60y.cloudfront.net/8615680835746/1-800.webp,8615680835746,Slim Fit 4-Way Stretch Burgundy T-Shirt,['Maroon'],Slim Fit,Solid,Cotton Blend,719.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/slim-fit-4-way-stretch-burgundy-t-shirt-4mst2683-08/8615680835746/buy
00137.webp,https://d2wbq7o4qxi60y.cloudfront.net/8954501103778/1-800.webp,8954501103778,Slim Fit Stretch T-Shirt,['Olive'],Slim Fit,Plain,Cotton Blend,1099.0,4.2,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/slim-fit-stretch-t-shirt-4rn005-03/8954501103778/buy
00138.webp,https://d2wbq7o4qxi60y.cloudfront.net/8954501038242/1-800.webp,8954501038242,Slim Fit Stretch T-Shirt,['Black'],Slim Fit,Plain,Cotton Blend,1099.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/slim-fit-stretch-t-shirt-4rn005-01/8954501038242/buy
00139.webp,https://d2wbq7o4qxi60y.cloudfront.net/9235524550818/1-800.webp,9235524550818,Slim Fit 100% Cotton Polo T-Shirt,['Blue'],Slim Fit,Plain,Cotton,1199.0,4.2,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/polo-100-cotton-slim-fit-t-shirt-4pl003-02/9235524550818/buy
00140.webp,https://d2wbq7o4qxi60y.cloudfront.net/8954501169314/1-800.webp,8954501169314,Slim Fit Stretch T-Shirt,['White'],Slim Fit,Plain,Cotton Blend,1099.0,4.4,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/slim-fit-stretch-t-shirt-4rn005-05/8954501169314/buy
